PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Zeng, A; Song, SR; Niessner, M; Fisher, M; Xiao, JX; Funkhouser, T			IEEE	Zeng, Andy; Song, Shuran; Niessner, Matthias; Fisher, Matthew; Xiao, Jianxiong; Funkhouser, Thomas			3DMatch: Learning Local Geometric Descriptors from RGB-D Reconstructions	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF																						1063-6919		978-1-5386-0457-1				2017							199	208		10.1109/CVPR.2017.29								WOS:000418371400022						
C	Wijmans, E; Furukawa, Y			IEEE	Wijmans, Erik; Furukawa, Yasutaka			Exploiting 2D Floorplan for Building-scale Panorama RGBD Alignment	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF																						1063-6919		978-1-5386-0457-1				2017							1427	1435		10.1109/CVPR.2017.156								WOS:000418371401051						
J	Yang, JL; Li, HD; Campbell, D; Jia, YD				Yang, Jiaolong; Li, Hongdong; Campbell, Dylan; Jia, Yunde			Go-ICP: A Globally Optimal Solution to 3D ICP Point-Set Registration	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																		Campbell, Dylan/0000-0002-4717-6850												0162-8828	1939-3539				NOV	2016	38	11					2241	2254		10.1109/TPAMI.2015.2513405								WOS:000385945000008	26731638					
J	Wen, CL; Pan, SY; Wang, C; Li, J				Wen, Chenglu; Pan, Siyu; Wang, Cheng; Li, Jonathan			An Indoor Backpack System for 2-D and 3-D Mapping of Building Interiors	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS																	Li, Jonathan/AAA-7712-2021; Wang, Cheng/A-9472-2012; Wen, Chenglu/D-5158-2018	Wen, Chenglu/0000-0002-6189-1236; LI, Jonathan/0000-0001-7899-0049												1545-598X	1558-0571				JUL	2016	13	7					992	996		10.1109/LGRS.2016.2558486								WOS:000379718600023						
J	Gimenez, L; Robert, S; Suard, F; Zreik, K				Gimenez, Lucile; Robert, Sylvain; Suard, Frederic; Zreik, Khaldoun			Automatic reconstruction of 3D building models from scanned 2D floor plans	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				MAR	2016	63						48	56		10.1016/j.autcon.2015.12.008								WOS:000371554000005						
J	Han, JD; Yin, P; He, YQ; Gu, F				Han, Jianda; Yin, Peng; He, Yuqing; Gu, Feng			Enhanced ICP for the Registration of Large-Scale 3D Environment Models: An Experimental Study	SENSORS																		He, Yuqing/0000-0001-5067-1169													1424-8220				FEB	2016	16	2								10.3390/s16020228								WOS:000371787800098	26891298					
C	Lin, WY; Liu, SY; Jiang, NJ; Do, MN; Tan, P; Lu, JB		Leibe, B; Matas, J; Sebe, N; Welling, M		Lin, Wen-Yan; Liu, Siying; Jiang, Nianjuan; Do, Minh N.; Tan, Ping; Lu, Jiangbo			RepMatch: Robust Feature Matching and Pose for Reconstructing Modern Cities	COMPUTER VISION - ECCV 2016, PT I	Lecture Notes in Computer Science				14th European Conference on Computer Vision (ECCV)	OCT 08-16, 2016	Amsterdam, NETHERLANDS										N., Minh/AAX-8498-2020	N., Minh/0000-0001-5132-4986												0302-9743	1611-3349	978-3-319-46448-0; 978-3-319-46447-3				2016	9905						562	579		10.1007/978-3-319-46448-0_34								WOS:000389382700034						
J	Wang, HT; Zhang, WM; Chen, YM; Chen, M; Yan, K				Wang, Hongtao; Zhang, Wuming; Chen, Yiming; Chen, Mei; Yan, Kai			Semantic Decomposition and Reconstruction of Compound Buildings with Symmetric Roofs from LiDAR Data and Aerial Imagery	REMOTE SENSING																															2072-4292				OCT	2015	7	10					13945	13974		10.3390/rs71013945								WOS:000364328600063						
J	Endres, F; Hess, J; Sturm, J; Cremers, D; Burgard, W				Endres, Felix; Hess, Juergen; Sturm, Juergen; Cremers, Daniel; Burgard, Wolfram			3-D Mapping With an RGB-D Camera	IEEE TRANSACTIONS ON ROBOTICS																	Burgard, Wolfram/N-2381-2019	Burgard, Wolfram/0000-0002-5680-6500												1552-3098	1941-0468				FEB	2014	30	1					177	187		10.1109/TRO.2013.2279412								WOS:000331301900019						
J	Ceylan, D; Mitra, NJ; Zheng, YY; Pauly, M				Ceylan, Duygu; Mitra, Niloy J.; Zheng, Youyi; Pauly, Mark			Coupled Structure-from-Motion and 3D Symmetry Detection for Urban Facades	ACM TRANSACTIONS ON GRAPHICS																	Caloz, Christophe/A-8412-2008	Caloz, Christophe/0000-0003-0502-8435												0730-0301	1557-7368				JAN	2014	33	1							2	10.1145/2517348								WOS:000332118300002						
